Date (UTC),Bz [nT],Vsw [km/s],Dst [nT],Kp,Altitude [km],Density [kg/m^3]
2003-10-01 00:30:00,-1.8,289.0,-11.0,3.0,399.9943127097897,2.7644908060084785e-12
2003-10-01 01:30:00,-0.9,284.0,-12.0,3.0,399.9885715069016,2.790697973588693e-12
2003-10-01 02:30:00,-0.5,281.0,-12.0,3.0,399.98291456196085,2.7497428297200186e-12
2003-10-01 03:30:00,-0.1,278.0,-13.0,2.0,399.9782522614636,2.2662643621350087e-12
2003-10-01 04:30:00,-0.2,281.0,-13.0,2.0,399.9738048804179,2.1617964448396405e-12
2003-10-01 05:30:00,-2.0,282.0,-10.0,2.0,399.9694027289581,2.139811813191508e-12
2003-10-01 06:30:00,-3.3,282.0,-14.0,1.3,399.96499411379733,2.1429544063864394e-12
2003-10-01 07:30:00,-2.1,281.0,-17.0,1.3,399.95998683042916,2.433957843908485e-12
2003-10-01 08:30:00,-2.6,279.0,-13.0,1.3,399.9541544992085,2.8350010428885406e-12
2003-10-01 09:30:00,-2.6,285.0,-8.0,1.0,399.947562753683,3.2041413256207943e-12
2003-10-01 10:30:00,-2.1,279.0,-2.0,1.0,399.940088742651,3.6329981458458025e-12
2003-10-01 11:30:00,-1.5,269.0,1.0,1.0,399.93168442114813,4.08520955586419e-12
2003-10-01 12:30:00,-1.8,269.0,3.0,1.0,399.9222765926439,4.573001490298656e-12
2003-10-01 13:30:00,-1.9,273.0,2.0,1.0,399.91190129697696,5.043275979095381e-12
2003-10-01 14:30:00,-0.6,277.0,1.0,1.0,399.9008302118005,5.381492971669321e-12
2003-10-01 15:30:00,0.4,276.0,4.0,1.0,399.8895794034181,5.468858270772796e-12
2003-10-01 16:30:00,3.0,271.0,6.0,1.0,399.8787625578679,5.257919465914268e-12
2003-10-01 17:30:00,-0.1,280.0,10.0,1.0,399.86888346604815,4.802094144189254e-12
2003-10-01 18:30:00,-3.6,289.0,16.0,3.0,399.85916745917217,4.722824183914712e-12
2003-10-01 19:30:00,-5.3,292.0,19.0,3.0,399.85076495165845,4.08435221076741e-12
2003-10-01 20:30:00,-10.4,289.0,6.0,3.0,399.8435398376342,3.512038364743632e-12
2003-10-01 21:30:00,-12.1,290.0,-14.0,4.0,399.8365736499112,3.386179306253433e-12
2003-10-01 22:30:00,-6.6,283.0,-38.0,4.0,399.8301070268992,3.143348579970985e-12
2003-10-01 23:30:00,-5.5,296.0,-36.0,4.0,399.8237653616648,3.082609562004649e-12
2003-10-02 00:30:00,-5.2,304.0,-24.0,2.7,399.818877733211,2.375820341559066e-12
2003-10-02 01:30:00,-3.5,309.0,-21.0,2.7,399.81393040957676,2.4048383545340434e-12
2003-10-02 02:30:00,-6.7,307.0,-23.0,2.7,399.8090431121504,2.3756611582598514e-12
2003-10-02 03:30:00,-4.4,323.0,-23.0,2.3,399.80461888920513,2.1505665569774654e-12
2003-10-02 04:30:00,1.6,336.0,-21.0,2.3,399.80038112754005,2.0599304340500085e-12
2003-10-02 05:30:00,3.5,328.0,-19.0,2.3,399.7961832106123,2.040562973345147e-12
2003-10-02 06:30:00,0.1,307.0,-16.0,1.3,399.7922325304868,1.9203843769947138e-12
2003-10-02 07:30:00,-1.6,309.0,-15.0,1.3,399.7877642104477,2.1720043701139343e-12
2003-10-02 08:30:00,5.1,350.0,-9.0,1.3,399.7825844113743,2.5178478347815575e-12
2003-10-02 09:30:00,2.8,358.0,-8.0,0.7,399.7769123499272,2.757132640287298e-12
2003-10-02 10:30:00,-3.6,349.0,-8.0,0.7,399.7704681587145,3.1324585501735792e-12
2003-10-02 11:30:00,-4.1,344.0,-7.0,0.7,399.7631976343477,3.5341327254405532e-12
2003-10-02 12:30:00,-5.4,359.0,-4.0,1.3,399.75474676789713,4.107887988464735e-12
2003-10-02 13:30:00,-4.5,379.0,-2.0,1.3,399.74541138437206,4.537846386219542e-12
2003-10-02 14:30:00,-8.8,388.0,-1.0,1.3,399.73543200203216,4.850891791141004e-12
2003-10-02 15:30:00,-8.7,387.0,0.0,1.7,399.7251305315951,5.00745973089604e-12
2003-10-02 16:30:00,-7.6,379.0,-4.0,1.7,399.71522215394583,4.816384235926727e-12
2003-10-02 17:30:00,-5.4,374.0,-1.0,1.7,399.7061745194476,4.3979869964676635e-12
2003-10-02 18:30:00,1.1,382.0,1.0,2.3,399.6979341743058,4.0055723955218575e-12
2003-10-02 19:30:00,-11.2,376.0,-3.0,2.3,399.69087024850023,3.4337255227846665e-12
2003-10-02 20:30:00,-9.4,376.0,-12.0,2.3,399.68485901590253,2.9220201528113254e-12
2003-10-02 21:30:00,-4.1,396.0,-12.0,2.7,399.6794113315027,2.6480843003096283e-12
2003-10-02 22:30:00,-4.6,419.0,-7.0,2.7,399.6744230780965,2.4247588289199277e-12
2003-10-02 23:30:00,-5.1,432.0,-5.0,2.7,399.6695732689863,2.357462789747327e-12
2003-10-03 00:30:00,-6.2,461.0,-14.0,3.3,399.6645005589407,2.4658144652677784e-12
2003-10-03 01:30:00,-6.2,478.0,-24.0,3.3,399.6593453884358,2.505898947478672e-12
2003-10-03 02:30:00,-5.4,474.0,-29.0,3.3,399.6542315958943,2.485786302247362e-12
2003-10-03 03:30:00,-7.7,459.0,-27.0,4.7,399.64826640560386,2.8996471394260796e-12
2003-10-03 04:30:00,-5.1,465.0,-27.0,4.7,399.64248065168505,2.8124253161691358e-12
2003-10-03 05:30:00,0.8,478.0,-33.0,4.7,399.63673109295496,2.7948322148160275e-12
2003-10-03 06:30:00,-2.7,473.0,-28.0,3.0,399.6320117770825,2.29403720369944e-12
2003-10-03 07:30:00,-0.6,468.0,-23.0,3.0,399.6267848783089,2.540771745260614e-12
2003-10-03 08:30:00,-1.0,476.0,-24.0,3.0,399.62087717987225,2.8717064768064987e-12
2003-10-03 09:30:00,2.7,466.0,-26.0,1.7,399.61505749315023,2.8289255999033576e-12
