Date (UTC),Bz [nT],Vsw [km/s],Dst [nT],Kp,Altitude [km],Density [kg/m^3]
2022-02-01 00:30:00,-0.7,437.0,-5.0,1.7,209.25000718301254,1.602394416721328e-10
2022-02-01 01:30:00,-2.8,448.0,-3.0,1.7,208.4835441472791,1.6376771227369133e-10
2022-02-01 02:30:00,0.3,448.0,-3.0,1.7,207.69520385187957,1.6845196744166394e-10
2022-02-01 03:30:00,-1.6,416.0,-5.0,1.7,206.8713182061203,1.7605781920510843e-10
2022-02-01 04:30:00,0.2,402.0,-5.0,1.7,205.9924492338309,1.8781908057617296e-10
2022-02-01 05:30:00,2.2,434.0,-1.0,1.7,205.041022583358,2.0333863561525933e-10
2022-02-01 06:30:00,-0.6,407.0,1.0,0.7,204.0442794587249,2.1303906935774387e-10
2022-02-01 07:30:00,-0.1,399.0,2.0,0.7,202.98679987515789,2.2603771836487096e-10
2022-02-01 08:30:00,-0.1,387.0,-1.0,0.7,201.89808880308271,2.3273220825788187e-10
2022-02-01 09:30:00,-1.3,399.0,-4.0,0.7,200.7997481828779,2.3481014712085993e-10
2022-02-01 10:30:00,0.5,394.0,-6.0,0.7,199.6879847074989,2.376996300975845e-10
2022-02-01 11:30:00,-0.4,401.0,-4.0,0.7,198.53790492121502,2.459126174982919e-10
2022-02-01 12:30:00,-1.7,403.0,-2.0,1.3,197.30326041318196,2.6401754111398485e-10
2022-02-01 13:30:00,1.4,396.0,-3.0,1.3,195.99298866426665,2.8021607373680714e-10
2022-02-01 14:30:00,3.2,373.0,-5.0,1.3,194.62177904345282,2.9327756371330004e-10
2022-02-01 15:30:00,2.4,361.0,-1.0,0.7,193.23604461043328,2.9641511281250795e-10
2022-02-01 16:30:00,-0.7,365.0,0.0,0.7,191.83753950449545,2.9917839364672495e-10
2022-02-01 17:30:00,-2.1,365.5,1.0,0.7,190.42505664870703,3.0220080918750726e-10
2022-02-01 18:30:00,0.9,366.0,1.0,0.3,188.9952938891733,3.059307695006357e-10
2022-02-01 19:30:00,-0.0,361.0,3.0,0.3,187.50778718301467,3.1832110440812586e-10
2022-02-01 20:30:00,2.4,353.0,2.0,0.3,185.94281154154615,3.3493715530456405e-10
2022-02-01 21:30:00,0.9,350.0,0.0,3.3,184.12153790690564,3.898367405318322e-10
2022-02-01 22:30:00,-1.3,405.0,11.0,3.3,182.17507468391955,4.1669097354573654e-10
2022-02-01 23:30:00,-7.3,473.0,15.0,3.3,180.0984530100841,4.4462078548194375e-10
2022-02-02 00:30:00,-2.3,468.0,1.0,4.0,177.84032874607666,4.83558518906834e-10
