Date (UTC),Bz [nT],Vsw [km/s],Dst [nT],Kp,Altitude [km],Density [kg/m^3]
2003-10-28 00:30:00,-0.6,476.0,-24.0,3.0,399.97430804639964,1.2488402541695634e-11
2003-10-28 01:30:00,-1.1,475.0,-24.0,3.0,399.94921800387465,1.2195847391555828e-11
2003-10-28 02:30:00,-4.7,535.0,-14.0,3.0,399.925207785544,1.1670984648289888e-11
2003-10-28 03:30:00,-5.0,597.0,-18.0,4.7,399.89847046490854,1.2996608679690476e-11
2003-10-28 04:30:00,-2.0,606.0,-4.0,4.7,399.8727982042674,1.247892370347694e-11
2003-10-28 05:30:00,-4.9,607.0,-1.0,4.7,399.8471070960518,1.2488108918149468e-11
2003-10-28 06:30:00,-4.7,620.0,-1.0,3.7,399.82218265837804,1.211546346324274e-11
2003-10-28 07:30:00,-9.9,622.0,-5.0,3.7,399.7938097174633,1.3791763978526437e-11
2003-10-28 08:30:00,-10.3,612.0,-14.0,3.7,399.76097598380596,1.5960138051571875e-11
2003-10-28 09:30:00,0.0,653.0,-32.0,4.7,399.72109002665894,1.9388197898578497e-11
2003-10-28 10:30:00,3.8,759.0,-32.0,4.7,399.67747679690643,2.1200053366157563e-11
2003-10-28 11:30:00,6.8,767.0,-24.0,4.7,399.6304986141389,2.283580452599764e-11
2003-10-28 12:30:00,9.4,800.0,-20.0,2.7,399.58552999457066,2.1859044099499737e-11
2003-10-28 13:30:00,6.5,809.0,-16.0,2.7,399.5378667569766,2.316896276602865e-11
2003-10-28 14:30:00,3.8,814.8666666666667,-8.0,2.7,399.4887590931039,2.3871178251105127e-11
2003-10-28 15:30:00,4.2,820.7333333333333,-4.0,4.0,399.4370270878859,2.5146958722067392e-11
2003-10-28 16:30:00,-2.9,826.6,-4.0,4.0,399.38762679401134,2.401360418339547e-11
2003-10-28 17:30:00,-0.3,832.4666666666667,-9.0,4.0,399.34172241980673,2.231431045323578e-11
2003-10-28 18:30:00,1.6,838.3333333333334,-16.0,3.3,399.30107201750207,1.9760399480771537e-11
2003-10-28 19:30:00,-0.2,844.2,-18.0,3.3,399.26423161640855,1.7908389261507974e-11
2003-10-28 20:30:00,0.6,850.0666666666666,-19.0,3.3,399.230937130874,1.6184737727326335e-11
2003-10-28 21:30:00,2.1,855.9333333333333,-22.0,4.0,399.1992217352884,1.5417166338063623e-11
2003-10-28 22:30:00,1.2,861.8,-14.0,4.0,399.1694853881877,1.4455165224834489e-11
2003-10-28 23:30:00,-0.2,867.6666666666666,-20.0,4.0,399.14068596575686,1.3999746588133286e-11
2003-10-29 00:30:00,-3.9,873.5333333333333,-34.0,4.7,399.109831899846,1.4998565465555962e-11
2003-10-29 01:30:00,-2.7,879.4,-42.0,4.7,399.0796410200773,1.46762154400481e-11
2003-10-29 02:30:00,-1.2,885.2666666666667,-32.0,4.7,399.05067235850447,1.4082109215635149e-11
2003-10-29 03:30:00,-2.2,891.1333333333333,-25.0,4.0,399.02506790048255,1.2446745072325304e-11
2003-10-29 04:30:00,-2.2,897.0,-28.0,4.0,399.00058382822107,1.1902129769811853e-11
2003-10-29 05:30:00,-2.2,902.8666666666667,-30.0,4.0,398.9761255260203,1.1889623998418132e-11
2003-10-29 06:30:00,-14.4,908.7333333333333,-10.0,9.0,398.9012976618046,3.637524673269214e-11
2003-10-29 07:30:00,7.7,914.6,-105.0,9.0,398.8216894696178,3.8699268869112514e-11
2003-10-29 08:30:00,-5.4,920.4666666666667,-130.0,9.0,398.73740566058643,4.097242852875103e-11
2003-10-29 09:30:00,-6.2,926.3333333333334,-151.0,8.0,398.6776057333015,2.9070393556175468e-11
2003-10-29 10:30:00,2.7,932.2,-151.0,8.0,398.6144065486407,3.0723001991205997e-11
2003-10-29 11:30:00,5.5,938.0666666666666,-147.0,8.0,398.5481511686202,3.2208859733426694e-11
2003-10-29 12:30:00,3.2,943.9333333333334,-111.0,7.7,398.4814452943811,3.242801807419761e-11
2003-10-29 13:30:00,8.7,949.8,-79.0,7.7,398.4123000667645,3.3614037202486536e-11
2003-10-29 14:30:00,-0.6,955.6666666666666,-99.0,7.7,398.34222501777856,3.406623153521109e-11
2003-10-29 15:30:00,-6.8,961.5333333333333,-107.0,7.7,398.27334248077216,3.3486677982510436e-11
2003-10-29 16:30:00,-6.5,967.4,-124.0,7.7,398.207551058392,3.1984120798414304e-11
2003-10-29 17:30:00,-6.4,973.2666666666667,-126.0,7.7,398.1458540365193,2.999379734690511e-11
2003-10-29 18:30:00,-16.4,979.1333333333333,-169.0,8.7,398.0723443483449,3.573664775234514e-11
