'*', 30, 1, 10, 0, 18, 18, 70, 0
'SPENVIS  - 24-Jun-2026 18:52:32'
'PRJ_DEF', -1,'PL2'
'PRJ_HDR', -1,'PL2 - radiation'
'MOD_ABB', -1,'MST'
'MIS_PLA', 1, 3,' '
'MIS_STA', 1, 25567.000000,'days since 1-01-1950'
'MIS_END', 1, 25932.000000,'days since 1-01-1950'
'MST_VER', 1, 2009,' '
'MST_MIN', 1, 0.001000,'m'
'MST_MAX', 1, 10.000000,'m'
'MST_SRC', 9, 1, 1, 1, 1, 1, 1, 1, 1, 1,' '
'INDEX','m', 1,'Diameter'
'ExplFragm_flux','1/m^2/yr', 1,'Explosion Fragments size cumulative flux'
'CollFragm_flux','1/m^2/yr', 1,'Collision Fragments size cumulative flux'
'LaunchMis_flux','1/m^2/yr', 1,'Launch/Mission related objects size cumulative flux'
'NaKDrop_flux','1/m^2/yr', 1,'NaK-droplets size cumulative flux'
'SRMSlag_flux','1/m^2/yr', 1,'SRM slag size cumulative flux'
'SRMDust_flux','1/m^2/yr', 1,'SRM Al2O3 dust size cumulative flux'
'PaintFlks_flux','1/m^2/yr', 1,'Paint flakes size cumulative flux'
'Ejecta_flux','1/m^2/yr', 1,'Ejecta size cumulative flux'
'MLI_flux','1/m^2/yr', 1,'Multi-Layer Insulation size cumulative flux'
'Meteoroid_flux','1/m^2/yr', 1,'Meteoroids size cumulative flux'
'Streams_flux','1/m^2/yr', 1,'Meteoroid Stream size cumulative flux'
'Cloud_1_flux','1/m^2/yr', 1,'Event cloud 1 size cumulative flux'
'Cloud_2_flux','1/m^2/yr', 1,'Event cloud 2 size cumulative flux'
'Cloud_3_flux','1/m^2/yr', 1,'Event cloud 3 size cumulative flux'
'Cloud_4_flux','1/m^2/yr', 1,'Event cloud 4 size cumulative flux'
'Cloud_5_flux','1/m^2/yr', 1,'Event cloud 5 size cumulative flux'
'Total_flux','1/m^2/yr', 1,'Total size cumulative flux'
 1.000000e-3, 1.227000e-3, 1.117000e-3, 9.259000e-7, 0.000000e+0, 4.343000e-4, 0.000000e+0, 0.000000e+0, 3.619000e-4, 0.000000e+0, 1.276000e-3, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 4.417000e-3
 1.141000e-3, 9.810000e-4, 9.694000e-4, 9.259000e-7, 0.000000e+0, 3.370000e-4, 0.000000e+0, 0.000000e+0, 2.395000e-4, 0.000000e+0, 7.651000e-4, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 3.293000e-3
 1.301000e-3, 8.000000e-4, 8.016000e-4, 9.259000e-7, 0.000000e+0, 2.644000e-4, 0.000000e+0, 0.000000e+0, 2.395000e-4, 0.000000e+0, 4.645000e-4, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 2.571000e-3
 1.484000e-3, 6.762000e-4, 6.770000e-4, 9.259000e-7, 0.000000e+0, 1.914000e-4, 0.000000e+0, 0.000000e+0, 1.262000e-4, 0.000000e+0, 2.764000e-4, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 1.948000e-3
 1.693000e-3, 5.526000e-4, 5.697000e-4, 9.259000e-7, 0.000000e+0, 1.708000e-4, 0.000000e+0, 0.000000e+0, 1.262000e-4, 0.000000e+0, 1.659000e-4, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 1.586000e-3
 1.931000e-3, 4.510000e-4, 4.124000e-4, 9.259000e-7, 0.000000e+0, 9.105000e-5, 0.000000e+0, 0.000000e+0, 6.863000e-5, 0.000000e+0, 1.024000e-4, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 1.126000e-3
 2.202000e-3, 3.867000e-4, 3.588000e-4, 9.259000e-7, 0.000000e+0, 7.497000e-5, 0.000000e+0, 0.000000e+0, 6.863000e-5, 0.000000e+0, 5.012000e-5, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 9.401000e-4
 2.512000e-3, 3.226000e-4, 2.893000e-4, 9.259000e-7, 0.000000e+0, 5.051000e-5, 0.000000e+0, 0.000000e+0, 4.015000e-5, 0.000000e+0, 3.264000e-5, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 7.360000e-4
 2.865000e-3, 2.982000e-4, 2.396000e-4, 9.258000e-7, 0.000000e+0, 3.667000e-5, 0.000000e+0, 0.000000e+0, 7.855000e-6, 0.000000e+0, 1.934000e-5, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 6.025000e-4
 3.268000e-3, 2.272000e-4, 1.721000e-4, 9.258000e-7, 0.000000e+0, 3.021000e-5, 0.000000e+0, 0.000000e+0, 7.855000e-6, 0.000000e+0, 1.188000e-5, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 4.501000e-4
 3.728000e-3, 1.904000e-4, 1.445000e-4, 9.258000e-7, 0.000000e+0, 2.393000e-5, 0.000000e+0, 0.000000e+0, 6.756000e-6, 0.000000e+0, 7.249000e-6, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 3.737000e-4
 4.252000e-3, 1.610000e-4, 1.211000e-4, 9.258000e-7, 0.000000e+0, 1.866000e-5, 0.000000e+0, 0.000000e+0, 6.756000e-6, 0.000000e+0, 5.114000e-6, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 3.136000e-4
 4.850000e-3, 1.384000e-4, 9.664000e-5, 9.258000e-7, 0.000000e+0, 1.351000e-5, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 3.205000e-6, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 2.527000e-4
 5.532000e-3, 8.963000e-5, 8.138000e-5, 9.258000e-7, 0.000000e+0, 1.159000e-5, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 1.889000e-6, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 1.854000e-4
 6.310000e-3, 8.548000e-5, 6.522000e-5, 9.258000e-7, 0.000000e+0, 9.305000e-6, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 1.094000e-6, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 1.620000e-4
 7.197000e-3, 6.882000e-5, 5.085000e-5, 9.258000e-7, 0.000000e+0, 7.563000e-6, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 6.196000e-7, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 1.288000e-4
 8.209000e-3, 4.865000e-5, 4.029000e-5, 9.258000e-7, 0.000000e+0, 2.802000e-6, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 3.521000e-7, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 9.302000e-5
 9.363000e-3, 4.743000e-5, 3.374000e-5, 9.258000e-7, 0.000000e+0, 2.421000e-6, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 1.990000e-7, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 8.471000e-5
 1.068000e-2, 4.048000e-5, 2.709000e-5, 9.258000e-7, 0.000000e+0, 1.260000e-6, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 1.093000e-7, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 6.987000e-5
 1.218200e-2, 3.358000e-5, 1.879000e-5, 9.258000e-7, 0.000000e+0, 7.594000e-7, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 5.756000e-8, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 5.411000e-5
 1.389500e-2, 2.438000e-5, 1.424000e-5, 9.258000e-7, 0.000000e+0, 4.739000e-7, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 3.009000e-8, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 4.005000e-5
 1.584900e-2, 1.932000e-5, 1.126000e-5, 9.258000e-7, 0.000000e+0, 2.074000e-7, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 1.411000e-8, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 3.173000e-5
 1.807800e-2, 1.598000e-5, 9.229000e-6, 9.258000e-7, 0.000000e+0, 1.374000e-7, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 3.230000e-9, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 2.628000e-5
 2.062000e-2, 1.358000e-5, 7.511000e-6, 9.258000e-7, 0.000000e+0, 7.789000e-8, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 2.210000e-5
 2.352000e-2, 9.984000e-6, 6.460000e-6, 9.258000e-7, 0.000000e+0, 4.524000e-8, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 1.742000e-5
 2.682700e-2, 8.144000e-6, 5.889000e-6, 9.258000e-7, 0.000000e+0, 2.769000e-8, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 1.499000e-5
 3.059900e-2, 7.302000e-6, 5.407000e-6, 9.258000e-7, 0.000000e+0, 1.592000e-8, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 0.000000e+0, 1.365000e-5
